name|set|set_code|type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|color|generated_mana|number|rarity|ruling|variation|ability|watermark|name_FR
Duress|Friday Night Magic|FNM|Sorcery||||{B}|1|Lawrence Snelly|"#_""We decide who is worthy of our works."" -Gix, Yawgmoth praetor_#"|B||65|R|||Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.||
Elves of Deep Shadow|Friday Night Magic|FNM|Creature — Elf Druid|1|1||{G}|1|Jesper Myrfors|"#_""They are aberrations who have turned on everything we hold sacred. Let them be cast out."" -Ailheen, Speaker of the Council_#"|G|{B}|68|R|||{T}: Add {B} to your mana pool. Elves of Deep Shadow deals 1 damage to you.||
Elvish Visionary|Friday Night Magic|FNM|Creature — Elf Shaman|1|1||{1}{G}|2|Lucio Parrillo|#_Before any major undertaking, a Cylian elf seeks the guidance of a visionary to learn the will of the gargantuan ancients._#|G||121|R|||When Elvish Visionary enters the battlefield, draw a card.||
Engineered Plague|Friday Night Magic|FNM|Enchantment||||{2}{B}|3|Michael Sutfin|#_A single germ can kill more soldiers than ten thousand blades._#|B||86|R|||As Engineered Plague enters the battlefield, choose a creature type.£All creatures of the chosen type get -1/-1.||
Eternal Witness|Friday Night Magic|FNM|Creature — Human Shaman|2|1||{1}{G}{G}|3|Terese Nielsen|#_Gaea needs no book to record every act._#|G||94|R|||When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand.||
Everflowing Chalice|Friday Night Magic|FNM|Artifact||||{0}|0|Charles Urbach||A|{X}|128|R|£3/1/2010: If <u>Everflowing Chalice</u> has no charge counters on it, you can still activate its last ability. That ability is still a mana ability, even though it produces no mana as it resolves.||Multikicker {2} #_(You may pay an additional {2} any number of times as you cast this spell.)_#£Everflowing Chalice enters the battlefield with a charge counter on it for each time it was kicked.£{T}: Add {1} to your mana pool for each charge counter on Everflowing Chalice.||
Evolving Wilds|Friday Night Magic|FNM|Land|||||0|Sam Burley|#_Without the interfering hands of civilization, nature will always shape itself to its own needs._#|L||149|R|||{T}, Sacrifice Evolving Wilds: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.||
Experiment One|Friday Night Magic|FNM|Creature — Human Ooze|1|1||{G}|1|Jack Wang||G||160|R|£1/24/2013: If removing two +1/+1 counters from <u>Experiment One</u> causes the amount of damage already marked on <u>Experiment One</u> to be equal to or greater than its toughness, it will be put into its owner's graveyard as a state-based action before the regeneration shield is created.££4/15/2013: When comparing the stats of the two creatures for evolve, you always compare power to power and toughness to toughness.££4/15/2013: Whenever a creature enters the battlefield under your control, check its power and toughness against the power and toughness of the creature with evolve. If neither stat of the new creature is greater, evolve won't trigger at all.££4/15/2013: If evolve triggers, the stat comparison will happen again when the ability tries to resolve. If neither stat of the new creature is greater, the ability will do nothing. If the creature that entered the battlefield leaves the battlefield before evolve tries to resolve, use its last known power and toughness to compare the stats.££4/15/2013: If a creature enters the battlefield with +1/+1 counters on it, consider those counters when determining if evolve will trigger. For example, a 1/1 creature that enters the battlefield with two +1/+1 counters on it will cause the evolve ability of a 2/2 creature to trigger.££4/15/2013: If multiple creatures enter the battlefield at the same time, evolve may trigger multiple times, although the stat comparison will take place each time one of those abilities tries to resolve. For example, if you control a 2/2 creature with evolve and two 3/3 creatures enter the battlefield, evolve will trigger twice. The first ability will resolve and put a +1/+1 counter on the creature with evolve. When the second ability tries to resolve, neither the power nor the toughness of the new creature is greater than that of the creature with evolve, so that ability does nothing.££4/15/2013: When comparing the stats as the evolve ability resolves, it's possible that the stat that's greater changes from power to toughness or vice versa. If this happens, the ability will still resolve and you'll put a +1/+1 counter on the creature with evolve. For example, if you control a 2/2 creature with evolve and a 1/3 creature enters the battlefield under your control, it toughness is greater so evolve will trigger. In response, the 1/3 creature gets +2/-2. When the evolve trigger tries to resolve, its power is greater. You'll put a +1/+1 counter on the creature with evolve.||Evolve #_(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)_#£Remove two +1/+1 counters from Experiment One: Regenerate Experiment One.||
Fact or Fiction|Friday Night Magic|FNM|Instant||||{3}{U}|4|Terese Nielsen|"#_""Try to pretend like you understand what's important.""_#"|U||61|R|£10/4/2004: You choose which pile to put into your hand.££10/4/2004: The revealed cards are revealed in order, so that all players know what order they were on the library.||Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.||
Farseek|Friday Night Magic|FNM|Sorcery||||{1}{G}|2|Michael Komarck|"#_""How truly vast this city must be, that I have traveled so far and seen so much, yet never once found the place where the buildings fail.""_#"|G||154|R|£7/1/2012: The card can have other land types, including Forest, as long as it also has one of the listed land types.||Search your library for a Plains, Island, Swamp, or Mountain card and put it onto the battlefield tapped. Then shuffle your library.||
Fire // Ice|Friday Night Magic|FNM|Instant // Instant||||{1}{R} // {1}{U}|2 // 2|David Martin||R // U||79a|R // R|||Fire deals 2 damage divided as you choose among one or two target creatures and/or players.£ // £Tap target permanent.£Draw a card.||Glace // Feu
Fireblast|Friday Night Magic|FNM|Instant||||{4}{R}{R}|6|Michael Danza||R||18|R|||You may sacrifice two Mountains rather than pay Fireblast's mana cost.£Fireblast deals 4 damage to target creature or player.||
Firebolt|Friday Night Magic|FNM|Sorcery||||{R}|1|Ron Spencer|#_Reach out and torch someone._#|R||80|R|||Firebolt deals 2 damage to target creature or player.£Flashback {4}{R} #_(You may cast this card from your graveyard for its flashback cost. Then exile it.)_#||
Fireslinger|Friday Night Magic|FNM|Creature — Human Wizard|1|1||{1}{R}|2|Jeff Reitz|"#_""One pain is lessened by another's anguish."" - William Shakespeare, Romeo and Juliet_#"|R||24|R|||{T}: Fireslinger deals 1 damage to target creature or player and 1 damage to you.||
Flametongue Kavu|Friday Night Magic|FNM|Creature — Kavu|4|2||{3}{R}|4|Pete Venters|"#_""For dim-witted, thick-skulled genetic mutants, they have pretty good aim."" - Sisay _#"|R||58|R|£10/4/2004: If it enters the battlefield as the only targetable creature, it must target itself.||When Flametongue Kavu enters the battlefield, it deals 4 damage to target creature.||
Forbid|Friday Night Magic|FNM|Instant||||{1}{U}{U}|3|Scott Kirschner||U||27|R|||Buyback—Discard two cards. #_(You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)_#£Counter target spell.||
Forbidden Alchemy|Friday Night Magic|FNM|Instant||||{2}{U}|3|Randy Gallegos||U||146|R|£9/22/2011: If you have fewer than four cards in your library, you'll look at all  the cards there and put one into your hand and the rest into your  graveyard.||Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard.£Flashback {6}{B} #_(You may cast this card from your graveyard for its flashback cost. Then exile it.)_#||
Force Spike|Friday Night Magic|FNM|Instant||||{U}|1|Bryon Wackwitz|"#_""I don't think so.""_#"|U||91|R|£10/4/2004: The payment is optional.||Counter target spell unless its controller pays {1}.||
Gatekeeper of Malakir|Friday Night Magic|FNM|Creature — Vampire Warrior|2|2||{B}{B}|2|Jason Felix|"#_""You may enter the city—once the toll is paid.""_#"|B||126|R|||Kicker {B} #_(You may pay an additional {B} as you cast this spell.)_#£When Gatekeeper of Malakir enters the battlefield, if it was kicked, target player sacrifices a creature.||
Gerrard's Verdict|Friday Night Magic|FNM|Sorcery||||{W}{B}|2|Carl Critchlow|#_A heart of light and a soul of darkness cannot coexist._#|WB||82|R|||Target player discards two cards. You gain 3 life for each land card discarded this way.||
Ghor-Clan Rampager|Friday Night Magic|FNM|Creature — Beast|4|4||{2}{R}{G}|4|Dave Kendall|"#_""The Simic come from the cold slow depths. How could they understand the fire in a wild heart?""£—Kroshkar, Gruul shaman_#"|GR||161|R|||Trample£Bloodrush — {R}{G}, Discard Ghor-Clan Rampager: Target attacking creature gets +4/+4 and gains trample until end of turn.||
Ghostly Prison|Friday Night Magic|FNM|Enchantment||||{2}{W}|3|Wayne England|"#_""May the memory of our fallen heroes ensnare the violent hearts of lesser men."" -Great Threshold of Monserkat inscription_#"|W||117|R|£2/1/2007: In the Two-Headed Giant format, you still only have to pay once per creature.||Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.||
Giant Growth|Friday Night Magic|FNM|Instant||||{G}|1|Sandra Everingham||G||8|R|||Target creature gets +3/+3 until end of turn.||
Gitaxian Probe|Friday Night Magic|FNM|Sorcery||||{PU}|1|Trevon Claxton|"#_""My flesh holds no secrets, monster. The spirit of Mirrodin will fight on.""£—Vy Covalt, Mirran resistance_#"|U||151|R|£6/1/2011: A card with Phyrexian mana symbols in its mana cost is each color that appears in that mana cost, regardless of how that cost may have been paid.££6/1/2011: To calculate the converted mana cost of a card with Phyrexian mana symbols in its cost, count each Phyrexian mana symbol as 1.££6/1/2011: As you cast a spell or activate an activated ability with one or more Phyrexian mana symbols in its cost, you choose how to pay for each Phyrexian mana symbol at the same time you would choose modes or choose a value for X.££6/1/2011: If you're at 1 life or less, you can't pay 2 life.££6/1/2011: Phyrexian mana is not a new color. Players can't add Phyrexian mana to their mana pools.££6/1/2011: The targeted player may have no cards in his or her hand. You'll still draw a card.||#_({PU} can be paid with either {U} or 2 life.)_#£Look at target player's hand.£Draw a card.||
Glistener Elf|Friday Night Magic|FNM|Creature — Elf Warrior|1|1||{G}|1|Mark Zug|"#_""Beg me for life, and I will fill you with the glory of Phyrexian perfection.""_#"|G||140|R|||Infect #_(This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)_#||
Go for the Throat|Friday Night Magic|FNM|Instant||||{1}{B}|2|David Rapoza|#_Having flesh is increasingly a liability on Mirrodin._#|B||138|R|£6/1/2011: If the targeted creature is also an artifact when <u>Go for the Throat</u> tries to resolve, it will be countered.||Destroy target nonartifact creature.||
Goblin Bombardment|Friday Night Magic|FNM|Enchantment||||{1}{R}|2|Brian Snoddy|#_One mogg to aim the catapult, one mogg to steer the rock._#|R||37|R|||Sacrifice a creature: Goblin Bombardment deals 1 damage to target creature or player.||
Goblin Legionnaire|Friday Night Magic|FNM|Creature — Goblin Soldier|2|2||{W}{R}|2|Mark Romanoski||WR||85|R|||{R}, Sacrifice Goblin Legionnaire: Goblin Legionnaire deals 2 damage to target creature or player.£{W}, Sacrifice Goblin Legionnaire: Prevent the next 2 damage that would be dealt to target creature or player this turn.||
Goblin Ringleader|Friday Night Magic|FNM|Creature — Goblin|2|2||{3}{R}|4|Mark Romanoski||R||87|R|||Haste£When Goblin Ringleader enters the battlefield, reveal the top four cards of your library. Put all Goblin cards revealed this way into your hand and the rest on the bottom of your library in any order.||
Goblin Warchief|Friday Night Magic|FNM|Creature — Goblin|2|2||{1}{R}{R}|3|Tim Hildebrandt|#_They poured from the Skirk Ridge like lava, burning and devouring everything in their path._#|R||72|R|||Goblin spells you cast cost {1} less to cast.£Goblin creatures you control have haste.||
Grisly Salvage|Friday Night Magic|FNM|Instant||||{B}{G}|2|Maciej Kuciara|#_To the Golgari, anything buried is treasure._#|GB||162|R|||Reveal the top five cards of your library. You may put a creature or land card from among them into your hand. Put the rest into your graveyard.||
Fire // Ice|Friday Night Magic|FNM|Instant // Instant||||{1}{R} // {1}{U}|2 // 2|David Martin||R // U||79b|R // R|||Fire deals 2 damage divided as you choose among one or two target creatures and/or players.£ // £Tap target permanent.£Draw a card.||Feu // Glace
Icy Manipulator|Friday Night Magic|FNM|Artifact||||{4}|4|Douglas Shuler|#_In fire there is the spark of chaos and destruction, the seed of life. In ice there is perfect tranquility, perfect order, and the silence of death._#|A||67|R|"£10/4/2004: Tapping a card with an effect like this will never pay the cost of an ability. For example, tapping a land with this card will not put mana into a player's pool.££10/4/2004: <u>Icy Manipulator</u> can't be used to stop someone from using an ability of the permanent you plan to tap. It can be used to make a player use the ability now or to not use it.££10/4/2004: The ability can target a tapped card, but tapping a tapped card does nothing useful. And it will not trigger ""if the card becomes tapped"" effects.££10/4/2004: If you want to stop someone from attacking with a creature by using this card, you must do so before attackers are declared. You can't wait until after attackers are declared and then try to use it to make a creature stop attacking. Note that your opponent can't start declaring attackers without letting you use the <u>Icy Manipulator</u>.££10/4/2004: Tapping an attacking creature which did not tap to attack does not remove the creature from the attack or cause the creature to stop dealing damage."||{1}, {T}: Tap target artifact, creature, or land.||
Impulse|Friday Night Magic|FNM|Instant||||{1}{U}|2|Bryan Talbot||U||17|R|£10/4/2004: This is not a draw.££10/4/2004: Due to errata, you no longer shuffle your library.||Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.||
Isochron Scepter|Friday Night Magic|FNM|Artifact||||{2}|2|Brian Despain||A||102|R|£10/4/2004: If the imprinted card leaves the Exile zone while the ability to make a copy is on the stack, then no copy will be made.££10/4/2004: If this card leaves the battlefield while the ability to make a copy is on the stack, the ability will still make a copy using the last-known-information rule.££12/1/2004: <u>Isochron Scepter</u>'s second ability creates a copy of the imprinted card in the Exile zone (that's where the imprinted Instant card is), then allows you to cast it without paying its mana cost.££12/1/2004: You cast the copy while this ability is resolving, and still on the stack. Normally, you're not allowed to cast spells or activate abilities at this time. <u>Isochron Scepter</u>'s ability provides an exception.££12/1/2004: You don't pay the spell's mana cost. If the spell has X in its mana cost, X is 0. You do pay any additional costs for that spell. You can't use any alternative costs.££12/1/2004: If the copied card is a split card, you may choose to cast either side of the split card, but not both. The split cards Fire/Ice, Illusion/Reality, Night/Day, Stand/Deliver, and Wax/Wane all have at least one side with converted mana cost 2 or less.)££12/1/2004: You can't cast the copy if an effect prevents you from casting Instants or from casting that particular Instant.££12/1/2004: You can't cast the copy unless all of its targets can be chosen.££12/1/2004: If you don't want to cast the copy, you can choose not to; the copy ceases to exist the next time state-based actions are checked.££3/1/2005: The creation of the copy and then the casting of the copy are both optional.||Imprint — When Isochron Scepter enters the battlefield, you may exile an instant card with converted mana cost 2 or less from your hand.£{2}, {T}: You may copy the exiled card. If you do, you may cast the copy without paying its mana cost.||
Izzet Charm|Friday Night Magic|FNM|Instant||||{U}{R}|2|Zoltan Boros||UR||157|R|||Choose one — Counter target noncreature spell unless its controller pays {2}; or Izzet Charm deals 2 damage to target creature; or draw two cards, then discard two cards.||
Jace's Ingenuity|Friday Night Magic|FNM|Instant||||{3}{U}{U}|5|Steve Argyle|"#_""Brute force can sometimes kick down a locked door, but knowledge is a skeleton key.""_#"|U||134|R|||Draw three cards.||
Jackal Pup|Friday Night Magic|FNM|Creature — Hound|2|1||{R}|1|Susan Van Camp|"#_""Cry havoc and let slip the dogs of war."" - William Shakespeare, Julius Caesar_#"|R||14|R|||Whenever Jackal Pup is dealt damage, it deals that much damage to you.||
Judge's Familiar|Friday Night Magic|FNM|Creature — Bird|1|1||{WU}|1|Ryan Yee|"#_""It misses nothing and it has no sense of humor.""£—Barvisa, courtroom scribe_#"|WU||156|R|||Flying£Sacrifice Judge's Familiar: Counter target instant or sorcery spell unless its controller pays {1}.||
Juggernaut|Friday Night Magic|FNM|Artifact Creature — Juggernaut|5|3||{4}|4|Dan Frazier|#_Built with neither a way to steer nor a way to stop, the juggernauts were simply aimed at an enemy's best defenses and told to charge._#|A||62|R|"£10/4/2004: An effect that says ""can't be blocked except by Walls"" doesn't override the text on the <u>Juggernaut</u>'s ability. If <u>Juggernaut</u> is affected by such an effect, it can't be blocked.££10/4/2004: There is no penalty if for some reason the <u>Juggernaut</u> can't attack, but if it can attack, it must.££8/15/2010: If, during your declare attackers step, <u>Juggernaut</u> is tapped, is affected by a spell or ability that says it can't attack, or is affected by ""summoning sickness,"" then it doesn't attack. If there's a cost associated with having <u>Juggernaut</u> attack, you aren't forced to pay that cost, so it doesn't have to attack in that case either.££8/15/2010: If there are multiple combat phases in a turn, <u>Juggernaut</u> must attack only in the first one in which it's able to."||Juggernaut attacks each turn if able.£Juggernaut can't be blocked by Walls.||
Kird Ape|Friday Night Magic|FNM|Creature — Ape|1|1||{R}|1|Ken Meyer, Jr.|"#_It puts the ""fur"" in ""fury.""_#"|R||64|R|||Kird Ape gets +1/+2 as long as you control a Forest.||
Kitchen Finks|Friday Night Magic|FNM|Creature — Ouphe|3|2||{1}{GW}{GW}|3|Larry MacDougall||GW||106|R|£6/7/2013: If a creature with persist stops being a creature, persist will still work.££6/7/2013: The persist ability triggers when the permanent is put into a graveyard. Its last known information (that is, how the creature last existed on the battlefield) is used to determine whether it had a -1/-1 counter on it.££6/7/2013: If a permanent has multiple instances of persist, they'll each trigger separately, but the redundant instances will have no effect. If one instance returns the card to the battlefield, the next to resolve will do nothing.££6/7/2013: If a token with no -1/-1 counters on it has persist, the ability will trigger when the token is put into the graveyard. However, the token will cease to exist and can't return to the battlefield.££6/7/2013: When a permanent with persist returns to the battlefield, it's a new object with no memory of or connection to its previous existence.££6/7/2013: If multiple creatures with persist are put into the graveyard at the same time (due to combat damage or a spell that destroys all creatures, for example), the active player (the player whose turn it is) puts all of his or her persist triggers on the stack in any order, then each other player in turn order does the same. The last trigger put on the stack is the first one that resolves. That means that in a two-player game, the nonactive player's persist creatures will return to the battlefield first, then the active player's persist creatures do the same. The creatures return to the battlefield one at a time.££6/7/2013: If a creature with persist that has +1/+1 counters on it receives enough -1/-1 counters to cause it to be destroyed by lethal damage or put into its owner's graveyard for having 0 or less toughness, persist won't trigger and the card won't return to the battlefield. That's because persist checks the creature's existence just before it leaves the battlefield, and it still has all those counters on it at that point.||When Kitchen Finks enters the battlefield, you gain 2 life.£Persist #_(When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)_#||
Krosan Grip|Friday Night Magic|FNM|Instant||||{2}{G}|3|Franz Vohwinkel|"#_""Give up these unnatural weapons, these scrolls. Heart and mind and fist are enough.""£-Zyd, Kamahlite druid_#"|G||123|R|£6/7/2013: Players still get priority while a card with split second is on the stack.££6/7/2013: Split second doesn't prevent players from activating mana abilities.££6/7/2013: Split second doesn't prevent triggered abilities from triggering. If one does, its controller puts it on the stack and chooses targets for it, if any. Those abilities will resolve as normal.££6/7/2013: Split second doesn't prevent players from performing special actions. Notably, players may turn face-down creatures face up while a spell with split second is on the stack.££6/7/2013: Casting a spell with split second won't affect spells and abilities that are already on the stack.££6/7/2013: If the resolution of a triggered ability involves casting a spell, that spell can't be cast if a spell with split second is on the stack.||Split second #_(As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)_#£Destroy target artifact or enchantment.||
Krosan Tusker|Friday Night Magic|FNM|Creature — Boar Beast|6|5||{5}{G}{G}|7|Kev Walker||G||42|R|£10/1/2008: Cycling is an activated ability. Effects that interact with activated abilities (such as Stifle or Rings of Brighthearth) will interact with cycling. Effects that interact with spells (such as Remove Soul or Faerie Tauntings) will not.££10/1/2008: When you cycle this card, first the cycling ability goes on the stack, then the triggered ability goes on the stack on top of it. The triggered ability will resolve before you draw a card from the cycling ability.££10/1/2008: The cycling ability and the triggered ability are separate. If the triggered ability is countered (with Stifle, for example, or if all its targets have become illegal), the cycling ability will still resolve and you'll draw a card.||Cycling {2}{G} #_({2}{G}, Discard this card: Draw a card.)_#£When you cycle Krosan Tusker, you may search your library for a basic land card, reveal that card, put it into your hand, then shuffle your library.||
Krosan Warchief|Friday Night Magic|FNM|Creature — Beast|2|2||{2}{G}|3|Greg Hildebrandt|#_It turns prey into predator._#|G||47|R|||Beast spells you cast cost {1} less to cast.£{1}{G}: Regenerate target Beast.||
Life // Death|Friday Night Magic|FNM|Sorcery // Sorcery||||{1}{B} // {G}|2 // 1|Ryan Barger||B // G||78a|R // R|£8/1/2008: A noncreature permanent that turns into a creature can attack, and its {T} abilities can be activated, only if its controller has continuously controlled that permanent since the beginning of his or her most recent turn. It doesn't matter how long the permanent has been a creature.||Return target creature card from your graveyard to the battlefield. You lose life equal to its converted mana cost.£ // £All lands you control become 1/1 creatures until end of turn. They're still lands.||Vie // Mort
Lightning Greaves|Friday Night Magic|FNM|Artifact — Equipment||||{2}|2|Michael Komarck|#_After lightning struck the cliffs, the ore became iron, the iron became steel, and the steel became greaves. The lightning never left._#|A||111|R|"£4/15/2013: You are not allowed to ""unequip"" equipment from a creature. If <u>Lightning Greaves</u> is attached to the only creature you control, you won't be able to attach other equipment to it (or target it with anything else) until you have another creature onto which you can move <u>Lightning Greaves</u>."||Equipped creature has haste and shroud. #_(It can't be the target of spells or abilities.)_#£Equip {0}||
Lightning Rift|Friday Night Magic|FNM|Enchantment||||{1}{R}|2|Eric Peterson|#_Options will cost you, but a lack of options will cost you even more._#|R||48|R|£10/4/2004: You choose the target when this ability is put on the stack, but you do not decide whether or not to pay the mana until the ability resolves.||Whenever a player cycles a card, you may pay {1}. If you do, Lightning Rift deals 2 damage to target creature or player.||
Lingering Souls|Friday Night Magic|FNM|Sorcery||||{2}{W}|3|John Stanko|#_The murdered inhabitants of Hollowhenge impart to the living the terror they felt in death._#|W||148|R|||Put two 1/1 white Spirit creature tokens with flying onto the battlefield.£Flashback {1}{B} #_(You may cast this card from your graveyard for its flashback cost. Then exile it.)_#||
Llanowar Elves|Friday Night Magic|FNM|Creature — Elf Druid|1|1||{G}|1|Anson Maddocks||G|{G}|11|R|||{T}: Add {G} to your mana pool.||
Lobotomy|Friday Night Magic|FNM|Sorcery||||{2}{U}{B}|4|Thomas M. Baxa||UB||71|R|£10/4/2004: You only get to pick one card from the player's hand.££10/4/2004: If the player has no cards in their hand, you still get to look through their deck, but you do not get to exile any cards.££10/4/2004: It exiles the chosen card plus all others in the hand, library, and graveyard. Some people thought the chosen card was not exiled due to some vague wording.££10/4/2004: Does not affect cards on the battlefield.££2/1/2005: The copies must be found if they are in publicly viewable zones. Finding copies while searching private zones is optional.||Target player reveals his or her hand, then you choose a card other than a basic land card from it. Search that player's graveyard, hand, and library for all cards with the same name as the chosen card and exile them. Then that player shuffles his or her library.||
Longbow Archer|Friday Night Magic|FNM|Creature — Human Soldier Archer|2|2||{W}{W}|2|Eric Peterson|"#_""If it bears wings, I will pin it to the skies over Tefemburu."" - Roya, Zhalfirin archer_#"|W||3|R|£4/1/2008: This card now uses the Reach keyword ability to enable the blocking of flying creatures. This works because a creature with flying can only be blocked by creatures with flying or reach.||First strike; reach #_(This creature can block creatures with flying.)_#||
Magma Jet|Friday Night Magic|FNM|Instant||||{1}{R}|2|Darrell Riche||R||104|R|||Magma Jet deals 2 damage to target creature or player. Scry 2. #_(Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)_#||
Merrow Reejerey|Friday Night Magic|FNM|Creature — Merfolk Soldier|2|2||{2}{U}|3|Thomas M. Baxa|#_Steady and silent as the deep current, the reejerey guides the course of the school._#|U||107|R|||Other Merfolk creatures you control get +1/+1.£Whenever you cast a Merfolk spell, you may tap or untap target permanent.||
Mind Warp|Friday Night Magic|FNM|Sorcery||||{X}{3}{B}|4|Liz Danforth|#_The hardest of wizards can have the softest of minds._#|B||5|R|£10/4/2004: The target player decides what order to put the cards in the graveyard. You decide which cards, but they do the discarding.||Look at target player's hand and choose X cards from it. That player discards those cards.||
Mogg Fanatic|Friday Night Magic|FNM|Creature — Goblin|1|1||{R}|1|Brom|"#_""As if his chest had been a mortar, he burst his hot heart's shell upon it."" - Herman Melville, Moby Dick_#"|R||29|R|||Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.||
Mother of Runes|Friday Night Magic|FNM|Creature — Human Cleric|1|1||{W}|1|Scott M. Fischer|"#_""My family protects all families.""_#"|W||54|R|||{T}: Target creature you control gains protection from the color of your choice until end of turn.||
Mulldrifter|Friday Night Magic|FNM|Creature — Elemental|2|2||{4}{U}|5|Wayne England||U||109|R|||Flying£When Mulldrifter enters the battlefield, draw two cards.£Evoke {2}{U} #_(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)_#||
Murderous Redcap|Friday Night Magic|FNM|Creature — Goblin Assassin|2|2||{2}{BR}{BR}|4|Mark Hyzer||RB||110|R|£5/1/2008: <u>Murderous Redcap</u>'s power is checked at the time the ability resolves. If it's left the battlefield by then, its last known information is used.££6/7/2013: If a creature with persist stops being a creature, persist will still work.££6/7/2013: The persist ability triggers when the permanent is put into a graveyard. Its last known information (that is, how the creature last existed on the battlefield) is used to determine whether it had a -1/-1 counter on it.££6/7/2013: If a permanent has multiple instances of persist, they'll each trigger separately, but the redundant instances will have no effect. If one instance returns the card to the battlefield, the next to resolve will do nothing.££6/7/2013: If a token with no -1/-1 counters on it has persist, the ability will trigger when the token is put into the graveyard. However, the token will cease to exist and can't return to the battlefield.££6/7/2013: When a permanent with persist returns to the battlefield, it's a new object with no memory of or connection to its previous existence.££6/7/2013: If multiple creatures with persist are put into the graveyard at the same time (due to combat damage or a spell that destroys all creatures, for example), the active player (the player whose turn it is) puts all of his or her persist triggers on the stack in any order, then each other player in turn order does the same. The last trigger put on the stack is the first one that resolves. That means that in a two-player game, the nonactive player's persist creatures will return to the battlefield first, then the active player's persist creatures do the same. The creatures return to the battlefield one at a time.££6/7/2013: If a creature with persist that has +1/+1 counters on it receives enough -1/-1 counters to cause it to be destroyed by lethal damage or put into its owner's graveyard for having 0 or less toughness, persist won't trigger and the card won't return to the battlefield. That's because persist checks the creature's existence just before it leaves the battlefield, and it still has all those counters on it at that point.||When Murderous Redcap enters the battlefield, it deals damage equal to its power to target creature or player.£Persist #_(When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)_#||
Muscle Sliver|Friday Night Magic|FNM|Creature — Sliver|1|1||{1}{G}|2|Richard Kane Ferguson|#_The air was filled with the cracks and snaps of flesh hardening as the new sliver joined the battle._#|G||33|R|£10/4/2004: Yes, it does give the +1/+1 bonus to itself.££7/1/2013: Abilities that Slivers grant, as well as power/toughness boosts, are cumulative. However, for some abilities, like flying, having more than one instance of the ability doesn’t provide any additional benefit.££7/1/2013: If you the creature type of a Sliver changes so it’s no longer a Sliver, it will no longer be affected by its own ability. Its ability will continue to affect other Sliver creatures.||All Sliver creatures get +1/+1.||
Myr Enforcer|Friday Night Magic|FNM|Artifact Creature — Myr|4|4||{7}|7|Jim Murray|#_Most myr monitor other species. Some myr monitor other myr._#|A||105|R|||Affinity for artifacts #_(This spell costs {1} less to cast for each artifact you control.)_#||
Oblivion Ring|Friday Night Magic|FNM|Enchantment||||{2}{W}|3|Chuck Lukacs||W||114|R|£10/1/2007: If <u>Oblivion Ring</u> leaves the battlefield before its first ability has resolved, its second ability will trigger and do nothing. Then its first ability will resolve and exile the targeted nonland permanent forever.££10/1/2007: If there are no nonland permanents on the battlefield other than an <u>Oblivion Ring</u>, and the card it exiled was another <u>Oblivion Ring</u>, casting a third <u>Oblivion Ring</u> will result in an involuntary infinite loop that will end the game in a draw (unless someone chooses to break it by putting another nonland permanent onto the battlefield or destroying one of the <u>Oblivion Ring</u>s, for example).££10/1/2008: If the exiled card is an Aura, that card's owner chooses what it will enchant as it comes back onto the battlefield. An Aura put onto the battlefield this way doesn't target anything, but the Aura's enchant ability restricts what it can be attached to. If the Aura can't legally be attached to anything, it remains exiled forever.££7/1/2012: Auras attached to the exiled permanent will be put into their owners' graveyards. Equipment attached to the exiled permanent will become unattached and remain on the battlefield. Any counters on the exiled permanent will cease to exist.||When Oblivion Ring enters the battlefield, exile another target nonland permanent.£When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.||
Ophidian|Friday Night Magic|FNM|Creature — Snake|1|3||{2}{U}|3|Cliff Nielsen|"#_""I will ... tell thee more than thou hast wit to ask.""- Christopher Marlowe, Doctor Faustus_#"|U||13|R|"£4/15/2013: An ability that triggers when something ""attacks and isn't blocked"" triggers in the declare blockers step after blockers are declared if (1) that creature is attacking and (2) no creatures are declared to block it. It will trigger even if that creature was put onto the battlefield attacking rather than having been declared as an attacker in the declare attackers step."||Whenever Ophidian attacks and isn't blocked, you may draw a card. If you do, Ophidian assigns no combat damage this turn.||
